"LOCATION","Pays","SUBJECT","Sujet","MEASURE","Mesure","FREQUENCY","Fréquence","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q2","T2-2013","PC","Pourcentage","0","unité",,,56.81932,,
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q3","T3-2013","PC","Pourcentage","0","unité",,,58.14113,,
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q4","T4-2013","PC","Pourcentage","0","unité",,,56.98683,,
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q1","T1-2014","PC","Pourcentage","0","unité",,,57.29794,,
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q2","T2-2014","PC","Pourcentage","0","unité",,,58.13099,,
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q3","T3-2014","PC","Pourcentage","0","unité",,,58.27126,,
"BEL","Belgique","LREM64FE","Taux d'emploi, Agée de 15 à 64 ans, Femmes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2014-Q4","T4-2014","PC","Pourcentage","0","unité",,,58.03038,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q2","T2-2012","PC","Pourcentage","0","unité",,,67.15053,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q3","T3-2012","PC","Pourcentage","0","unité",,,66.994,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2012-Q4","T4-2012","PC","Pourcentage","0","unité",,,66.09173,,
"BEL","Belgique","LREM64MA","Taux d'emploi, Agée de 15 à 64 ans, Hommes","STSA","Série en niveau, taux ou quantité, c.v.s.","Q","Trimestrielle","2013-Q1","T1-2013","PC","Pourcentage","0","unité",,,66.2429,,
