"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"GAEC MIRIBEL","VILLARD",74420,37223.56,0,86934.59,0,124158.15
"GAEC MONEGER","SAINT YRIEIX LE DEJALAT",19300,50705.78,0,74493.33,0,125199.11
"GAEC NUTTENS","SAINT OUEN DES CHAMPS",27680,124573.63,0,0,0,124573.63
"GAEC PASSEVENT","CHAVENON",3440,105736.68,0,19648.23,325.34,125710.25
"GAEC PATE","ALLAND HUY ET SAUSSEUIL",8130,123061.71,0,0,0,123061.71
"GAEC PENYSARCENAT","ORCINES",63870,37726.65,0,86437.99,0,124164.64
"GAEC PRAT-ROUFFET","JUSSAC",15250,95252.33,0,31295.68,0,126548.01
"GAEC REGNIER","GENTELLES",80800,91723.75,17723.96,17957.2,0,127404.91
"GAEC SAINT BERNARDIN","XEUILLEY",54990,118610.43,0,7767.8,48.66,126426.89
"GAEC SAINT ROMBLE","SUBLIGNY",18260,85445.36,0,39810,0,125255.36
"GAEC SAINT SEBASTIEN","DIEULOUARD",54380,115150.13,0,12751.04,0,127901.17
"GAEC SARAZIN","SERAINCOURT",8220,127087.3,0,0,0,127087.3
"GAEC SOUBRIER DE BANCAREL","LEUCAMP",15120,29677.46,0,96786.13,0,126463.59
"GAEC STERLIN","GUISCARD",60640,107600.04,0,15563.63,0,123163.67
"GAEC THEVENIN","TANNERRE EN PUISAYE",89350,112377.31,0,12379.52,0,124756.83
"GAEC THOREL","CONTEVILLE",80370,124025.17,0,0,0,124025.17
"GAEC TINTORAJO","PALASCA",20226,89017.52,0,36225.38,0,125242.9
"GAEC TOULAID","SAINT MERD LES OUSSINES",19170,69317.69,0,57005.45,0,126323.14
"GAEC VALENCOUR","GENE",49220,120519.24,0,6826.88,0,127346.12
"GAEC VERNISSE","SAINT PRIX",3120,91876.37,0,28659.05,3668.32,124203.74
"GAEC VILLA","VILLASAVARY",11150,127060.49,0,0,0,127060.49
"GFA DOMAINE DES GUILLIENS","SAINT MARTIN DES CHAMPS",89170,123389.41,0,0,0,123389.41
"GFA TERRES DU DOMAINE DU GRAND C","AIGUES MORTES",30220,123912.3,0,0,0,123912.3
"GROUP FOR BOURSIER MOUGENOT","URMATT",67280,0,0,123548.04,0,123548.04
"GROUPE PROVENCE SERVICES","MANOSQUE",4100,0,0,127911,0,127911
"LE TENO GAEC","PAILLY",89140,115355.19,0,9000,0,124355.19
"LES HERITIERS DU COMTE LAFON","MILLY LAMARTINE",71960,0,124099.34,0,0,124099.34
"MFR D'ANNEYRON","ANNEYRON",26140,0,0,127308.52,0,127308.52
"OFFICE NATIONAL DES FORETS","VALENCE",26009,0,0,123074.11,0,123074.11
"PARC NATUREL REGIONAL MARAIS COTENTIN ET BESSIN","VEYS",50500,0,0,127407.42,0,127407.42
"PARET LOUZE DISTRIBUTION","ROUSSILLON",38150,0,0,127518,0,127518
"SA DEBREUVE","DIERREY SAINT PIERRE",10190,124717.48,0,0,0,124717.48
"SA POM'AZUR","CAVAILLON",84953,0,126699.32,0,0,126699.32
"SARL CAMPO GALLO","PATRIMONIO",20253,0,0,127217.73,0,127217.73
"SARL DES PRES-LASSES","AUTIGNAC",34480,1722.32,115753.64,8179.5,0,125655.46
"SARL DESPREZ","POULANGY",52800,0,0,127200,0,127200
"SARL GIGETER","CUPERLY",51400,125231.7,0,0,0,125231.7
"SARL GROUPE COEUR ET DETENTE","YGRANDE",3160,0,0,125294,0,125294
"SARL LA TABLE DU ROY","SAINT JEAN DE MUZOLS",7300,0,0,123036,0,123036
"SARL LE MOULIN","BETTENCOURT SAINT OUEN",80610,123577.34,0,0,0,123577.34
"SARL SEFA BENOIST","ANDELU",78770,123024.12,0,0,0,123024.12
"SARL SOLEIL DU NORD","MARQUION",62860,0,125080.75,0,0,125080.75
"SARL TERRE NEUVE","CHENEHUTTE TREVES CUNAULT",49350,118794.24,0,8037.86,0,126832.1
"SARL TESSONNEAU","NOUILLERS",17380,98193.98,0,25770.3,0,123964.28
"SARL VANDENBULCKE","HARDIFORT",59670,0,127499,0,0,127499
"SCA BERGERE ET FILS","SINNAMARY",97315,57646.2,10442.4,59314.95,0,127403.55
"SCA CAVE DE L'ORMARINE","PINET",34850,0,86458.1,38400,0,124858.1
"SCA CAVE DES VIGNERONS DE BUXY","BUXY",71390,0,125212.91,0,0,125212.91
"SCA DE FRETTEVILLE","PORTE JOIE",27430,126787.04,0,0,0,126787.04
"SCA DE LA CONGE","TRILBARDOU",77450,125746.91,0,0,0,125746.91
"SCA DE LA VANELLE","SAINT MARIES DE LA MER",13460,127973.87,0,0,0,127973.87
"SCA DE TERRES BLANCHES","SAINT MARTIN DE BOSSENAY",10100,124340.25,0,0,0,124340.25
"SCA DOMAINE DE LA CROZETTE","CARPENTRAS",84200,0,127811.64,0,0,127811.64
"SCA FRUITIERE DU MONT SALEVE","CRUSEILLES",74350,0,0,127728,0,127728
"SCA LES VIGNERONS DE SOUVIGNARGUES","SOUVIGNARGUES",30250,0,127903.52,0,0,127903.52
"SCAV DOMAINE DE LEOUBE","BORMES LES MIMOSAS",83230,0,126129.7,0,0,126129.7
"SCAV LES VIGNERONS DE FLORENSAC","FLORENSAC",34510,0,114293.82,10634.08,0,124927.9
"SCE FERME DE SAINT LEU","MARCHEMORET",77230,127654.68,0,0,0,127654.68
"SCEA BELLETERRE","VAROGNE",70240,123060.55,0,1800.73,0,124861.28
"SCEA BRINVERT","JALLANS",28200,124143.87,0,1704.3,0,125848.17
"SCEA BUTOUR","PRECY",18140,119041.65,0,7587.2,0,126628.85
"SCEA CAMPMAS","LEDAT",47300,127123.49,0,0,0,127123.49
"SCEA CHEVALLIER","VENOY",89290,121192.6,0,3301.2,0,124493.8
"SCEA CHEZ DORANGE","LINAZAY",86400,127112.6,0,0,0,127112.6
"SCEA COVEC","SAULNIERES",28500,126318.87,0,0,0,126318.87
"SCEA D ENFER","WY DIT JOLI VILLAGE",95420,121161.18,0,5225.98,0,126387.16
"SCEA D'ARRY","ARRY",80120,123907.12,0,0,0,123907.12
"SCEA DE BOIS LE COMTE","JOUY LE CHATEL",77970,55082.09,67919.06,0,0,123001.15
"SCEA DE CANLERS","TRAVECY",2800,123835.91,0,0,0,123835.91
"SCEA DE GOMMIERS","ROSNAY",36300,99532.78,0,27642.64,0,127175.42
"SCEA DE LA BRUYERE","MONT SAINT SULPICE",89250,118069.31,0,7709.12,0,125778.43
"SCEA DE LA CHAISE","CHAMPAGNE MOUTON",16350,126777.51,0,0,0,126777.51
"SCEA DE LA CURE","DOMECY SUR CURE",89450,112344.32,0,12494.22,944.5,125783.04
"SCEA DE LA GARENNE","SAINT JEAN LES DEUX JUMEAUX",77660,125942.53,0,0,0,125942.53
"SCEA DE LA PLAINE","GOURGANCON",51230,126395.33,0,0,0,126395.33
"SCEA DE LA TOUR","BEAUREVOIR",2110,127764.88,0,0,0,127764.88
"SCEA DE LATOUR","BERAT",31370,127456.78,0,0,0,127456.78
"SCEA DE L'YERES","CUVERVILLE SUR YERES",76260,127185.85,0,0,0,127185.85
"SCEA DE MANOEUVRE","VINCY MANOEUVRE",77139,120839.55,0,5120,0,125959.55
"SCEA DE MAUPERTHUIS","CHARNY",77410,113515.13,0,10550,0,124065.13
"SCEA DE MOUGNANE","CAUBON SAINT SAUVEUR",47120,124289.15,0,0,0,124289.15
"SCEA DE RAVENEL","RAVENEL",60130,123277.89,0,0,0,123277.89
"SCEA DE SAINT ETIENNE","SAINT ETIENNE SUR SUIPPE",51110,123533.63,0,0,0,123533.63
"SCEA DE VASSY","ARZEMBOUY",58700,114984.89,0,10713.86,0,125698.75
"SCEA DELEF","AVESNES EN VAL",76630,125634.06,0,1400,0,127034.06
"SCEA DELIGNIERES DE BRUYN","CANNY SUR MATZ",60310,124133.07,0,0,0,124133.07
"SCEA DES DEUX LEYRENNES","AUGERES",23210,116569.28,0,9749.81,0,126319.09
"SCEA DES GONNEAUX","ROGNY LES SEPT ECLUSES",89220,118103.69,0,6801.92,0,124905.61
"SCEA DES NOUVEAUX PRES","BOIS JEROME SAINT OUEN",27620,125167.36,0,0,0,125167.36
"SCEA DES NOZEES","PERCENEIGE",89260,127929.32,0,0,0,127929.32
"SCEA DES PALMIERS","SAINT MEDARD",32300,118422.63,0,7957.41,0,126380.04
"SCEA DES VARENNES","SAINT AUBIN SUR AIRE",55500,119963.28,0,7600,0,127563.28
"SCEA DEWEIRDT FRERES","SUBLIGNY",89100,127224.69,0,0,0,127224.69
"SCEA D'HENNEVILLE","REVELLES",80540,126786.3,0,0,0,126786.3
"SCEA DOMAINE SAINT GABRIEL","MARSEILLETTE",11800,102993.55,0,21312,0,124305.55
"SCEA DONNEZ-LOFFROY","CHAMPIEN",80700,81849.29,45000,0,0,126849.29
"SCEA DU CLOQUETIER","SONGY",51240,125787.22,0,0,0,125787.22
"SCEA DU GRAND VAU","BRION",36110,118484.71,0,7600,0,126084.71
"SCEA DU GRAVIER","CHARNY LE BACHOT",10380,119271.05,0,5918.6,0,125189.65
"SCEA DU HAUT PAYS","TROCY EN MULTIEN",77440,119436.03,0,5888.36,0,125324.39
"SCEA DU MARAIS","MURON",17430,127118.68,0,0,0,127118.68
"SCEA DU PLESSIS","VELLES",36330,117722.81,0,7587.2,0,125310.01
"SCEA DUBREUIL-LETOUT","MEILLARD",80370,125959.64,0,0,0,125959.64
"SCEA DURIEZ DEMAREST","HEUZECOURT",80370,126855.16,0,0,0,126855.16
"SCEA GABILLON MICHELLE","INGRANDES",36300,104392.94,0,19504.74,0,123897.68
"SCEA HAGHEBAERT","VENDEUVRE",14170,125132.12,0,0,0,125132.12
"SCEA HUBLIER","VOULTON",77560,126310.43,0,0,0,126310.43
"SCEA LA LIMONAISE","LIMON",58270,118070.28,0,7177.69,0,125247.97
"SCEA LA PREASLE","DIOU",36260,118983.06,0,4562.07,0,123545.13
"SCEA LE PUITS","BEAUTHEIL",77120,127735.2,0,0,0,127735.2
"SCEA LE VIVIER","CIVRAY",18290,126914.58,0,0,0,126914.58
"SCEA LEFEVRE GENTY","SAINT ARNOULT",60220,111341.27,0,11900,0,123241.27
"SCEA LEGRAS","MOLINCHART",2000,123826.96,0,0,0,123826.96
"SCEA LEROY FRERES","GUITRY",27510,124011.43,0,0,0,124011.43
"SCEA LES BANLEES","NOZAY",10700,124993.13,0,0,0,124993.13
"SCEA LES BOURGS","SOMMEPY TAHURE",51600,125889.69,0,0,0,125889.69
"SCEA LES ROZIERS","LAVALETTE",31590,126931.08,0,0,0,126931.08
"SCEA L'ESSOR","SAINT MAURICE LA FOUGEREUSE",79150,124717.89,0,0,0,124717.89
"SCEA LOYER LEROUX","DIGNY",28250,123718.14,0,0,0,123718.14
"SCEA MARIN","LIMEUIL",24510,47205,0,76239,0,123444
"SCEA MOULLART","RUBEMPRE",80260,123442.87,0,0,0,123442.87
"SCEA PAUL HAZARD","MERY ES BOIS",18380,126177.26,0,0,0,126177.26
"SCEA PONSIN CLAUDE","VAUDEMANGE",51380,122044.18,0,4588,0,126632.18
"SCEA PROUVOST","BUCY LES PIERREPONT",2350,125408.67,0,0,0,125408.67
"SCEA RIVES PORTOI","BRAM",11150,125192.07,0,0,0,125192.07
"SCEA RUFFIN FRERES","VILLE SOUS ORBAIS",51270,126803.11,0,0,0,126803.11
"SCEV LE CLOS DES GRIVES","CHILLE",39570,0,124651.37,0,0,124651.37
"SDVA FREDERIC ROGER","LEZIGNAN CORBIERES CEDEX",11205,0,0,126344.18,0,126344.18
"SNC HARAS DE VILLERS","ERQUERY",60600,124594.3,0,0,0,124594.3
"SOCIETE COOPERATIVE AGRICOLE VALCAUSSE","MARTEL",46600,0,58257.36,68422,0,126679.36
"SOCIETE COOPERATIVE VINICOLE ALLIANCE BOU","TAURIAC",33710,0,127300.69,0,0,127300.69
"SOCIETE D'EXPLOITATION DES ABATTOIRS DE NARBONNE","NARBONNE",11100,0,0,124122.86,0,124122.86
"SOCIETE IMMOBILIERE ET DE PROSPE","MONTEREAU FAULT YONNE",77130,124825.24,0,0,0,124825.24
"SOLAM","MACOURIA",97355,0,123671.79,0,0,123671.79
"STE COOP DE VIN D ORSCHWILLER KINTZHEIM ET ENVIRON","ORSCHWILLER",67600,0,0,125928.12,0,125928.12
"STE ONESSOISE DE CULTURE","ONESSE ET LAHARIE",40110,124310.64,0,0,0,124310.64
"SYND MIXTE PARC NATUREL REGIONAL DU LUBERON","APT CEDEX",84404,0,0,123526.03,0,123526.03
"SYNDICAT MIXTE DE LA TOURAINE COTE SUD","LOCHES CEDEX",37601,0,0,123306.83,0,123306.83
"SYNDICAT MIXTE DU MONT VENTOUX","CARPENTRAS",84200,0,0,123962.24,0,123962.24
"SYNDICAT MIXTE DU PAYS CIVRAISIEN","CIVRAY",86400,0,0,127809.74,0,127809.74
"SYNDICAT MIXTE DU PAYS LOIRE BEAUCE","MEUNG SUR LOIRE",45130,0,0,125168.16,0,125168.16
"SYNDICAT MIXTE PAYS VALLEE MONTLUCON CHER","MONTLUCON",3100,0,0,124604.85,0,124604.85
"VANHERSECKHE FRERES","MILLAM",59143,0,124348.15,0,0,124348.15
"ADEPA","AURILLAC",15000,0,0,120269.7,0,120269.7
"ASS PROD FRUITS LEGUMES BIO BRETAGNE","LANDIVISIAU",29400,0,120004.07,0,0,120004.07
"BOIS CHAUD CREUSOIS","BENEVENT L ABBAYE",23210,0,0,122500,0,122500
"CAVE COOPERATIVE VINICOLE","BERRE L ETANG",13130,0,120070.5,0,0,120070.5
"COM UPAIX","UPAIX",5300,0,0,121349.2,0,121349.2
"COMMUNAUTE DE COMMUNES AU PAYS LA ROCHE AUX FEES","ESSE",35150,0,0,122111.01,0,122111.01
"COMMUNAUTE DE COMMUNES DE VIENNE ET CREUSE","DANGE SAINT ROMAIN",86220,0,0,119999.96,0,119999.96
"COMMUNAUTE DE COMMUNES DE VILLEDIEU LES POELES","VILLEDIEU LES POELES",50800,0,0,121818.07,0,121818.07
"COMMUNAUTE DE COMMUNES DES PORTES DE VASSIVIERE","EYMOUTIERS",87120,0,0,120000,0,120000
"COMMUNE DE COSNAC","COSNAC",19360,0,1454.98,120373.42,0,121828.4
"COMMUNE DE LESTRADE ET THOUELS","LESTRADE ET THOUELS",12430,0,0,121127.94,0,121127.94
"COMMUNE DE SAINT LAURENT D ANDENAY","SAINT LAURENT D ANDENAY",71210,0,178.25,122532.92,0,122711.17
"COMMUNE DE SAINT LAURENT LES EGLISES","SAINT LAURENT LES EGLISES",87240,0,0,120000,0,120000
"COMMUNE DE TARRARE","TARARE",69170,0,0,120000,0,120000
"COMMUNE DE THOIRETTE","THOIRETTE",39240,0,0,119892.92,0,119892.92
"CTRE NAT DE LA RECHERCHE SCIENTIFIQUE","PARIS 16",75016,0,120788,0,0,120788
"CUMA SILOCOOP DE TREIGNAC","PEYRISSAC",19260,0,0,119499.02,0,119499.02
"EARL BABOUILLARD FREDERIC","VILLAINES EN DUESMOIS",21450,113625.81,0,7589.12,0,121214.93
"EARL BELLEVUE","SOUDRON",51320,121393.14,0,0,0,121393.14
"EARL BELLOU","SAINT GERMAIN LA POTERIE",60650,105578.21,15036.63,0,0,120614.84
"EARL BENOIT SYLVAIN","SAINT AUBIN MONTENOY",80540,122681.71,0,0,0,122681.71
"EARL BERNARD FRERES","PRESSAC",86460,119131.52,0,3001.24,661.22,122793.98
"EARL BOUILLIANT","FREMECOURT",95830,119244.96,0,0,0,119244.96
"EARL BOURDELET JOLARD","THAAS",51230,119441.2,0,0,0,119441.2
"EARL BUFFAGEASSE","SAINT SYMPHORIEN",79270,84102.94,0,35244.68,0,119347.62
"EARL COUSIN","MONTIGNY SUR CANNE",58340,113623.46,0,8684.24,0,122307.7
"EARL D'AGOSTIN","CASTELNAUDARY",11400,121044.82,0,1680,0,122724.82
"EARL DE BILLEMONT","AUTHEUIL EN VALOIS",60890,120358.71,0,0,0,120358.71
"EARL DE COUDON","CONDEZAYGUES",47500,120231.41,0,0,0,120231.41
"EARL DE CRIQUET","MONBALEN",47340,120428.29,0,0,0,120428.29
"EARL DE GUERBOEUF","VILLAINES SOUS LUCE",72150,115430.99,0,7554.24,0,122985.23
"EARL DE LA CHAISE","NANGIS",77370,107266.28,0,13955.6,0,121221.88
"EARL DE LA CHUTE","CHANCEAUX SUR CHOISILLE",37390,119265.37,0,0,0,119265.37
"EARL DE LA CROIX BLANCHE","VILLERS SUR FERE",2130,120643.59,0,0,0,120643.59
"EARL DE LA HAUTE CROIX","VERDELOT",77510,122718.57,0,0,0,122718.57
"EARL DE LA NOVERE","CHAMPSECRET",61700,39164.55,0,81781.13,0,120945.68
"EARL DE LA PETITE LAITIERE","MELLEROY",45220,119868.53,0,0,0,119868.53
"EARL DE L'ABBAYE","SOMPUIS",51320,121307.38,0,0,0,121307.38
"EARL DE L'OUSTAL","ANAN",31230,100012.37,0,21634.86,0,121647.23
"EARL DE MALAISE","TAVAUX ET PONTSERICOURT",2250,122363.07,0,0,0,122363.07
"EARL DE MARSALIN","MARCILLY SUR EURE",27810,120755.45,0,0,0,120755.45
"EARL DE SAINT LOUP SAINT NICOLAS","BILLY SOUS MANGIENNES",55230,98164.3,0,23073.68,0,121237.98
"EARL DE STAINS","VILLENEUVE SOUS DAMMARTIN",77230,122321.84,0,0,0,122321.84
"EARL DECLERCQ","CHAUFFRY",77169,120269.15,0,0,0,120269.15
"EARL DELACOUR","MOULIN SOUS TOUVENT",60350,122692.31,0,0,0,122692.31
"EARL DELORAINE","MESNIL MARTINSART",80300,119637.19,0,0,0,119637.19
"EARL DES CHIRONS","PAIZAY LE SEC",86300,96737.67,0,25931.06,0,122668.73
"EARL DES EPINETTES","MARCILLY",77139,120230.22,0,0,0,120230.22
"EARL DES ESSARTS","SAULX LE DUC",21120,108055.03,0,13152.84,0,121207.87
"EARL DES MERGERS","ENFONVELLE",52400,122730.52,0,0,0,122730.52
"EARL DES NEPLIERS","COURCELLES EN BARROIS",55260,109966.38,0,12548.18,0,122514.56
"EARL DES PAGES","CONNANTRE",51230,120215.64,0,0,0,120215.64
"EARL DES PRES HAUTS","BUS SAINT REMY",27630,120991.19,0,0,0,120991.19
"EARL DES 50 JOURNAUX","BALOT",21330,85624.71,0,34081.05,1674.12,121379.88
"EARL DIALONDE","MOTTEVILLE",76970,119520.37,0,1771.41,0,121291.78
"EARL DU BON MARTIN","CRUGNY",51170,114886.97,0,5884.96,0,120771.93
"EARL DU CHATAIGNIER","PIERREFONDS",60350,120091.73,0,0,0,120091.73
"EARL DU CHATEAU","SAINT GERMAIN SUR SEVES",50190,121035.06,0,0,0,121035.06
"EARL DU CHATEAU GRILLOT","MANTOCHE",70100,122320.37,0,392.79,0,122713.16
"EARL DU DOMAINE DE FLACOURT","FLACOURT",78200,120303.32,0,0,0,120303.32
"EARL DU DOMAINE DE PRECIAMONT","MAROLLES",60890,119799.95,0,0,0,119799.95
"EARL DU GRAND JARDIN","EFFINCOURT",52300,115280.38,0,7533.76,0,122814.14
"EARL DU HAUT SALMON","COLMEY",54260,113375.75,0,7571.2,0,120946.95
"EARL DU MARAIS","REMAUCOURT",2100,121304.46,0,0,0,121304.46
"EARL DU MOULIN GRISON","JONCOURT",2420,122767.16,0,0,0,122767.16
"EARL DU PARVIS","AISONVILLE ET BERNOVILLE",2110,121265.19,0,0,0,121265.19
"EARL DU TOUYRE","VALEILLES",82150,121874.36,0,0,0,121874.36
"EARL DU VIEUX CHATEAU","PERNANT",2200,120780.33,0,0,0,120780.33
"EARL DUVERGER","PERSAC",86320,109258.29,0,10601.24,0,119859.53
"EARL FERME DE CHEVRY","VAUDOY EN BRIE",77141,120099.25,0,0,0,120099.25
"EARL FOREST","MONTGISCARD",31450,111823.22,0,7949.1,0,119772.32
"EARL GOUDEGUES","ARLES",13280,119287.47,0,0,0,119287.47
"EARL HAY MICHEL","BRION",86160,122568.69,0,0,0,122568.69
"EARL HENRY","DAUBEUF PRES VATTEVILLE",27430,121116.74,0,0,0,121116.74
"EARL J ET C MOREUX","BREVES",58530,114324.49,0,7600,0,121924.49
"EARL KLACK JEAN ET FILS","RIQUEWIHR",68340,0,115613.47,5100,466.52,121179.99
"EARL LA BOISERAIE","MOREUIL",80110,121429.59,0,0,0,121429.59
"EARL LA FERME DE BOUTAVENT","GUISCARD",60640,122492.48,0,0,0,122492.48
"EARL LACROIX","BREGY",60440,121772.85,0,0,0,121772.85
"EARL LANGLET","REMY",60190,122913.13,0,0,0,122913.13
"EARL LE FLECHE-SCHEEPERS","CHARENTON DU CHER",18210,119609.17,0,463.31,241.68,120314.16
"EARL LEPAGE GERARD","GOURGANCON",51230,121431.27,0,0,0,121431.27
"EARL LEROUX A ET V","TAVAUX ET PONTSERICOURT",2250,119788.63,0,0,0,119788.63
"EARL LES GOUTTES","SAINT CHRISTOPHE",16420,114498.83,0,6194.21,96.26,120789.3
"EARL LORIETTE","BANOGNE RECOUVRANCE",8220,53850.93,0,68820,0,122670.93
"EARL MAGDELONNETTE","SAINT LUCE",97228,111411.39,0,11363.2,0,122774.59
"EARL MAGNIEZ","FERE",2800,104488.13,0,17806.74,0,122294.87
"EARL MAUCLAIRE COSSIEZ","BROUSSY LE GRAND",51230,119653.85,0,0,0,119653.85
"EARL MORIN","NOHANT EN GRACAY",18310,109274.54,0,12120.32,0,121394.86
"EARL MUS LEFEVRE","BEDARRIDES",84370,122164.46,0,0,0,122164.46
"EARL NERIGNY","SAINT GERMAIN DU PUY",18390,113828.06,0,7600,0,121428.06
"EARL NUYTTENS","AUGER SAINT VINCENT",60800,120492.48,0,0,0,120492.48
"EARL OLIVIER LAPORTE","MAUX",58290,106894.36,0,14924.01,0,121818.37
"EARL OURSEL","MONTAGNY EN VEXIN",60240,122225.54,0,0,0,122225.54
"EARL PHILIPPE POLYCULTURE","CERNEUX",77320,122330.71,0,0,0,122330.71
"EARL PINTA ET FILS","NOYANT ET ACONIN",2200,121701.58,0,0,0,121701.58
"EARL PLASMANS VEMARS","VEMARS",95470,122862.86,0,0,0,122862.86
"EARL REDIGER","BUSSY LE REPOS",51330,119137.1,0,0,0,119137.1
"EARL SEINE","CHATEAU GARNIER",86350,122547.71,0,0,0,122547.71
"EARL TERRE DE FROYERES","CHOISY LA VICTOIRE",60190,119380.21,0,0,0,119380.21
"EARL UNIFARM","OIRY",51530,119566.44,0,0,0,119566.44
"EARL VILLEMADE","CELLETTES",41120,11491.89,107619.61,0,0,119111.5
"EARL 1 FERME DE MOUCHERY","NIZY LE COMTE",2150,119130.83,0,0,0,119130.83
"FRANCE LIMOUSIN SELECTION","BOISSEUIL",87220,0,0,122000,0,122000
"GAEC ASDRUBAL PERE ET FILS","IS SUR TILLE",21120,114310.98,0,5055.48,0,119366.46
"GAEC AU ROQUES","SEYSSES SAVES",32130,98611.5,0,20580.64,0,119192.14
"GAEC BAHU DE LA FORGE","BOISSY FRESNOY",60440,121015.7,0,0,0,121015.7
"GAEC BALLAND","VIEU D IZENAVE",1430,90934.3,0,28286.44,0,119220.74
"GAEC BARRIER PERE ET FILS","SAINT MAIGNER",63330,36737.87,0,84027.34,0,120765.21
"GAEC BATIER","QUIERS",77720,119982.13,0,0,0,119982.13
"GAEC BEGAUD","BALLON",17290,115710.98,0,0,3665.86,119376.84
"GAEC BERT","NEUILLY EN DUN",18600,118229.13,0,2820.25,0,121049.38
"GAEC BEYLIER","SAINT YRIEIX LA PERCHE",87500,62305.89,0,58344.8,562.66,121213.35
"GAEC BILLY","BOUGEY",70500,115847.61,0,4531.17,1181.84,121560.62
"GAEC BONNEVAL","WARLUS",80270,119479.92,0,0,155.86,119635.78
"GAEC BOS","GIGORS ET LOZERON",26400,71862.54,0,48877.76,0,120740.3
"GAEC BOULLET","YEVRES",28160,119243.38,0,0,0,119243.38
"GAEC BROUSSOULOUX","PEYRELEVADE",19290,59415.67,0,59187.08,516.2,119118.95
"GAEC BRUEY MIGNARD","GURGY LE CHATEAU",21290,114390.91,0,6536.82,0,120927.73
"GAEC CADET","OCCEY",52190,103207.46,0,14304.96,4163.78,121676.2
"GAEC CHAPUIS","AVRIL SUR LOIRE",58300,111641.97,0,6855.65,1353.56,119851.18
"GAEC CHATEAU DE LA NOE","BLAIN",44130,121463.07,0,0,0,121463.07
"GAEC CHEVIGNY","VEURDRE",3320,96044.91,0,24006.73,1643.26,121694.9
"GAEC CRAPPIER","BOUCHOIR",80910,122530.65,0,0,0,122530.65
"GAEC D'ARGIREY","VILLERS PATER",70190,77242.96,0,45432.99,0,122675.95
"GAEC DE BETTIGNIES","FERRIERE LA GRANDE",59680,103778.86,0,17497.92,0,121276.78
"GAEC DE BURET","WAVILLE",54890,107666.8,0,11600.02,0,119266.82
"GAEC DE CALIFORNIE","AMEL SUR L ETANG",55230,121583.31,0,0,0,121583.31
"GAEC DE CHARPIN","BRUNET",4210,102019.51,0,20855,0,122874.51
"GAEC DE CHEZ JEAN DUBOIS","BENEST",16350,114447.95,0,8268.75,137.38,122854.08
"GAEC DE CLOUSSY","ETROEUNGT",59219,120187.72,0,2467.98,0,122655.7
"GAEC DE COCURAL","HUPARLAC",12460,100400.69,0,21098.2,0,121498.89
"GAEC DE COLMING","GOMELANGE",57220,122745.74,0,0,0,122745.74
"GAEC DE COMBELASAYS","SAINT ROME DE DOLAN",48500,40370.2,0,77026.55,2900.16,120296.91
"GAEC DE COMPS","BELMONT SUR RANCE",12370,49452.4,0,70027.54,0,119479.94
"GAEC DE COURGEON","COURGEON",61400,106699.89,0,6957.76,5848.44,119506.09
"GAEC DE CRENE","SAINT PIERRE DE CURTILLE",73310,54563.52,0,65364.51,0,119928.03
"GAEC DE CROUZAVAL","FRAYSSINET",46310,64206.89,0,55666.32,0,119873.21
"GAEC DE DEBAIN","SANS VALLOIS",88260,114290.54,0,8531.12,0,122821.66
"GAEC DE FERRAND","CHALINARGUES",15170,17788.19,0,104004.27,0,121792.46
"GAEC DE FIGAYROLS","CORNUS",12540,51268.66,0,68236.49,0,119505.15
"GAEC DE GLANE","PRANZAC",16110,119442,0,0,0,119442
"GAEC DE KRAFTEL","GELUCOURT",57260,115509.02,0,4331.7,0,119840.72
"GAEC DE LA BANELLE","CASTELNAUD DE GRATECAMBE",47290,116894.11,0,0,2566.32,119460.43
"GAEC DE LA BARDE","PLAISANCE",86500,99221.24,0,19948.04,0,119169.28
"GAEC DE LA BASSE EPRUNIERE","MIRE",49330,119985.84,0,0,0,119985.84
"GAEC DE LA BATIE","CHAPELLE DE GUINCHAY",71570,107664.08,0,13643.1,0,121307.18
"GAEC DE LA BELLEVUE","HAVELUY",59255,122055.89,0,0,0,122055.89
"GAEC DE LA BOUSSOLE","MARICOURT",80360,122037.48,0,0,0,122037.48
"GAEC DE LA BROSSE","SAINT GEORGES DU BOIS",49250,117615.89,0,1939.22,0,119555.11
"GAEC DE LA CHAILLE","BRETENIERE",25640,114209.27,0,0,5005.02,119214.29
"GAEC DE LA CHAMBUE","SILLARS",86320,117733.99,0,5227.22,0,122961.21
"GAEC DE LA CHAUDRONNERIE","SEICHEBRIERES",45530,82937.76,0,33046.93,6040.1,122024.79
"GAEC DE LA CROIX","LIERNAIS",21430,94200.59,0,26968.44,1169.44,122338.47
"GAEC DE LA DEVISE","VALLENTIGNY",10500,122928.68,0,0,0,122928.68
"GAEC DE LA FERME D'HACHETTE","LANDRECIES",59550,75233.42,0,44205.53,0,119438.95
"GAEC DE LA FEUILLIE","SAINT AMAND",23200,29659.7,0,89602.08,0,119261.78
"GAEC DE LA FONTAINE","SAINT SABINE",21320,108341.04,0,11402.82,0,119743.86
"GAEC DE LA GLACIERE","SAINT SATURNIN DE LENNE",12560,92244.83,0,27447.14,0,119691.97
