"Nom / Raison sociale","Commune","Code postal","Paiements directs aux agriculteurs (Feaga)","Autres paiements Feaga","Paiements Feader (hors pr�ts bonifi�s)","Paiements pr�ts bonifi�s (Feader)","Montant total"
"CS DE LA VALLEE DE BAIGORRY","UREPEL",64430,0,0,565054.76,0,565054.76
"CS DU PAYS DE SOULE","MAULEON LICHARRE",64130,0,0,609553.62,0,609553.62
"CTICS","SAINT DENIS CEDEX",97463,0,0,1017079.19,0,1017079.19
"DAF","BASSE TERRE",97100,0,0,449823.32,0,449823.32
"DENEL","GROS MORNE",97213,0,580778.39,615452.23,0,1196230.62
"DEPARTEMENT DE LA REUNION","SAINT DENIS",97400,0,0,8450686.83,0,8450686.83
"DESFIS","BONNETABLE",72110,0,703775.26,0,0,703775.26
"DESHY DE PUISIEULX SCA","PUISIEULX",51500,0,728300.98,0,0,728300.98
"DIRECTION DE L'ALIM DE L'AGRI ET DE LA FORET","FORT DE FRANCE CEDEX",97262,0,0,794913.24,0,794913.24
"DISTILLERIE BARON","REMAUDIERE",44430,0,861206.44,0,0,861206.44
"DISTILLERIE BEL","SAINT THIBERY",34630,0,1591729.23,0,0,1591729.23
"DISTILLERIE CHAMPION-LABET","SAVIGNY LES BEAUNE",21420,0,751624.05,0,0,751624.05
"DISTILLERIE COOPERATIVE AGRICOLE D ARZENS","ARZENS",11290,0,427992.88,0,0,427992.88
"DISTILLERIE DE DORDOGNE","SAINT LAURENT DES VIGNES",24100,0,934062.91,0,0,934062.91
"DISTILLERIE DE LA TOUR","PONS",17800,0,579724.48,0,0,579724.48
"DISTILLERIE DE SAINT MARTIN DE SESCAS","SAINT MARTIN DE SESCAS",33490,0,842425.43,0,0,842425.43
"DISTILLERIE DILLON SA","SAINT PIERRE",97250,0,666164.73,0,0,666164.73
"DISTILLERIE DU BEAUJOLAIS","CHARENTAY",69220,0,749184.18,0,0,749184.18
"DISTILLERIE DU BOIS DES DAMES","VIOLES",84150,0,1218347.97,0,0,1218347.97
"DISTILLERIE DU SIMON","FRANCOIS",97240,0,859386.05,0,0,859386.05
"DISTILLERIE GUY NEYRAC","PINEUILH",33220,0,717511.56,0,0,717511.56
"DISTILLERIE JEAN GOYARD","AY",51160,0,2199897.13,0,0,2199897.13
"DORSAL","LIMOGES CEDEX 3",87069,0,0,687609.42,0,687609.42
"DOUX","CHATEAULIN",29150,0,55533325.47,0,0,55533325.47
"DRAAF RHONE-ALPES","LYON CEDEX 03",69401,0,0,523152.71,0,523152.71
"DUHAUMONT SARL","MARIGOT",97225,1521404.26,0,0,0,1521404.26
"DUPOTICHE SARL","MACOUBA",97218,1483844.06,0,0,0,1483844.06
"EARL ANDRE PFISTER","DAHLENHEIM",67310,0,518280.19,0,0,518280.19
"EARL DE BELFORT","LAMENTIN",97232,870242.39,0,8060.07,0,878302.46
"EARL EXP AGRI RIVIERE LA MANCHE","DUCOS",97224,786675.3,0,152573.46,0,939248.76
"EARL FIJO","SAINT MARIE",97230,666186.41,0,34053.83,0,700240.24
"EARL GALAXIE","SAINT CLAUDE",97120,517135.44,0,46779.7,0,563915.14
"EARL LES SALADINES","SAINT ETIENNE DU GRES",13103,428244.31,0,0,0,428244.31
"EARL MONT EOLE","LAMENTIN",97232,589461.16,0,56913.21,0,646374.37
"EARL SOCIE EXPL AGR LA DESIRADE","LAMENTIN",97232,865969.95,0,68591.36,0,934561.31
"EPLEFPA DE LA GUYANE","MACOURIA",97355,17320.56,0,501743.47,0,519064.03
